PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,SAMPLE_TYPE,FLAG,CAL_INST_ID,CAL_INST_MODEL,COND_STD1_DESC,COND_STD1_VALUE,COND_STD2_DESC,COND_STD2_VALUE,CONDUCTIVITY,CORRECTED,DO,DO_CALIBRATION_UNITS,DO_CALIBRATION_VALUE,DO_DISPLAYED_UNITS,DO_DISPLAYED_VALUE,DO_ELEVATION,DO_PRESSURE,FIELD_MEASUREMENT_REVIEW,LOCATION,OTH_LOCATION,PH,PH_STD1_DESC,PH_STD1_VALUE,PH_STD2_DESC,PH_STD2_VALUE,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE,TIME
1/26/2021,2014419,NRS18_ID_10006,8/14/2019,1,WMT,Region_10,ID,CALIB,,,HQ40d,200,199,,,,,,PERCENT,100,PERCENT,100,,,,,,,4.01,4,7,7.04,,,,
1/26/2021,2014419,NRS18_ID_10006,8/14/2019,1,WMT,Region_10,ID,FIELDMEAS,,,,,,,,23.9,Y,8.65,,,,,,,Y,X,,7.96,,,,,,,7.1,11:54
1/26/2021,2014420,NRS18_IN_10028,8/16/2019,1,TPL,Region_05,IN,CALIB,,287826,YSI EXO2,1000,996,,,,,,mg/L,8.24,mg/L,8.14,,744,,,,,7,7.04,10,10.04,,,,
1/26/2021,2014420,NRS18_IN_10028,8/16/2019,1,TPL,Region_05,IN,FIELDMEAS,,,,,,,,455.6,Y,4.54,,,,,,,Y,A,,7.46,,,,,,,24.5,8:01
1/26/2021,2014421,SE19_AK-10243,8/4/2019,1,,Region_10,AK,FIELDMEAS,,,,,,,,45.1,Y,8.75,,,,,,,Y,X,,6.89,,,,,,,13.7,11:25
1/26/2021,2014422,SE19_AK-10240,8/1/2019,1,,Region_10,AK,CALIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014422,SE19_AK-10240,8/1/2019,1,,Region_10,AK,FIELDMEAS,,,,,,,,69.3,Y,10.3,,,,,,,Y,X,,7.47,,,,,,,13.1,14:57
1/26/2021,2014423,SE19_AK-10223,8/6/2019,1,,Region_10,AK,CALIB,,,Aqua Troll,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014423,SE19_AK-10223,8/6/2019,1,,Region_10,AK,FIELDMEAS,,,,,,,,18.02,Y,6.41,,,,,,,Y,X,,5.17,,,,,,,12.17,11:48
1/26/2021,2014424,NRS18_WI_10548,8/15/2019,1,UMW,Region_05,WI,CALIB,,18E101074,YSI Professional Plus,1065,1065,,,,,,PERCENT,100,PERCENT,96.9,,732,,,,,7.03,7.1,10.09,10.19,25.1,25,,
1/26/2021,2014424,NRS18_WI_10548,8/15/2019,1,UMW,Region_05,WI,FIELDMEAS,,,,,,,,175.9,Y,9.4,,,,,,,Y,X,,7.55,,,,,,,19.7,9:26
1/26/2021,2014425,SE19_AK-10232,8/2/2019,1,,Region_10,AK,CALIB,,,AquaTroll 500,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014425,SE19_AK-10232,8/2/2019,1,,Region_10,AK,FIELDMEAS,,,,,,,,69.29,Y,10.3,,,,,,,Y,X,,7.47,,,,,,,13.1,12:35
1/26/2021,2014426,NRS18_TX_10504,8/15/2019,1,CPL,Region_06,TX,CALIB,,17H102988,YSI ProDSS,"1,000 uS/cm @ 25C","1,000",,,,,,PERCENT,99.5,PERCENT,101.6,151,,,,,,7.00 @ 25C,7.01 @ 21C,10.00 @ 25C,10.05 @ 21C,20.5,20.65,,
1/26/2021,2014426,NRS18_TX_10504,8/15/2019,1,CPL,Region_06,TX,FIELDMEAS,,,,,,,,920,Y,3.14,,,,,,,Y,X,,7.86,,,,,,,28.5,9:16
1/26/2021,2014427,NRS18_CT_10007,8/16/2019,1,NAP,Region_01,CT,CALIB,,18D109286,YSI pro plus,1002,1000,,,,,,PERCENT,103.5,PERCENT,100.5,,763,,,,,7.04,7,,,,,,
1/26/2021,2014427,NRS18_CT_10007,8/16/2019,1,NAP,Region_01,CT,FIELDMEAS,,,,,,,,401.73,N,7.84,,,,,,,Y,A,,7.46,,,,,,,25.3,8:20
1/26/2021,2014428,NRS18_MS_10005,8/16/2019,1,CPL,Region_04,MS,CALIB,,15A101407,YSI PRO DSS,1413,1414,,,,,,PERCENT,98.3,PERCENT,98.3,,755.3,,,,,7,7,10,10.02,21.5,21.6,,
1/26/2021,2014428,NRS18_MS_10005,8/16/2019,1,CPL,Region_04,MS,FIELDMEAS,,,,,,,,55.9,Y,6.72,,,,,,,Y,,K,8.03,,,,,,,25.1,10:02
1/26/2021,2014429,NRS18_NE_10983,8/16/2019,1,NPL,Region_07,NE,CALIB,,323646-9,YSI ProDSS,7,7,10,10,,,,PERCENT,100,PERCENT,100,,724,,,,,7,7,,,21,21,,
1/26/2021,2014429,NRS18_NE_10983,8/16/2019,1,NPL,Region_07,NE,FIELDMEAS,,,,,,,,547,Y,8.64,,,,,,,Y,A,,8.04,,,,,,,18.6,7:32
1/26/2021,2014430,NRS18_MN_10016,8/16/2019,1,UMW,Region_05,MN,CALIB,,15E100511; 17L102691,YSI ProDDS,SpC 1409 Standard,1409,,,,,,PERCENT,96.9,,96.9,,737,,,,,,,,,25,25.1,,
1/26/2021,2014430,NRS18_MN_10016,8/16/2019,1,UMW,Region_05,MN,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,pH 4.0 Standard,4,pH 7.0 Standard,7,,,,
1/26/2021,2014430,NRS18_MN_10016,8/16/2019,1,UMW,Region_05,MN,FIELDMEAS,,,,,,,,181.6,Y,7.7,,,,,,,Y,A,,7.97,,,,,,,22.4,9:24
1/26/2021,2014431,NRS18_ND_10377,8/15/2019,1,NPL,Region_08,ND,CALIB,,19C100584,YSI PRODSS,Conductivity Standard 1413,1413,,,,,,PERCENT,90.4,PERCENT,91.3,,693.9,,,,,Fisher Scientific pH 7 Buffer,7,Fisher Scientific pH 10 Buffer,10,22.3,22.5,,
1/26/2021,2014431,NRS18_ND_10377,8/15/2019,1,NPL,Region_08,ND,FIELDMEAS,,,,,,,,1810,Y,2.07,,,,,,,Y,X,,8.25,,,,,,,18.8,12:30
1/26/2021,2014432,NRS18_MA_10010,8/18/2019,1,NAP,Region_01,MA,CALIB,,18D109286,YSI pro plus,1001,1000,,,,,,PERCENT,92.7,PERCENT,100.8,,759.7,,,,,6.97,7,,,,,,
1/26/2021,2014432,NRS18_MA_10010,8/18/2019,1,NAP,Region_01,MA,FIELDMEAS,,,,,,,,302.38,N,8.37,,,,,,,Y,A,,7.42,,,,,,,25.3,9:37
1/26/2021,2014433,NRS18_MT_10037,8/18/2019,1,NPL,Region_08,MT,CALIB,,15E100511; 17L102691,YSI ProDDS,SpC 1409 Standard,1409,,,,,,PERCENT,90,PERCENT,90.1,,684,,,,,,,,,25,25.1,,
1/26/2021,2014433,NRS18_MT_10037,8/18/2019,1,NPL,Region_08,MT,CALIB,PH_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,pH 4.0 Standard,4,pH 7.0 Standard,7,,,,
1/26/2021,2014433,NRS18_MT_10037,8/18/2019,1,NPL,Region_08,MT,FIELDMEAS,,,,,,,,2975,Y,9.2,,,,,,,Y,X,,9.61,,,,,,,15.5,8:52
1/26/2021,2014434,NRS18_SD_11908,8/18/2019,1,NPL,Region_08,SD,CALIB,,220369,YSI Pro DSS,KCl Standard,1409,,,,,,PERCENT,93.6,PERCENT,94.3,,716.9,,,,,7.00 Buffer,7,10.00 Buffer,10,24.9,25.2,,
1/26/2021,2014434,NRS18_SD_11908,8/18/2019,1,NPL,Region_08,SD,FIELDMEAS,,,,,,,,1356,Y,7.9,,,,,,,Y,A,,7.8,,,,,,,21.2,11:51
1/26/2021,2014435,NRS18_MT_10096,8/18/2019,1,WMT,Region_08,MT,CALIB,,1,Hq30d,Standard,1000,,,,,,PERCENT,100,PERCENT,100,1260,,,,,,Ph solution,7,Ph solution,10,12.5,12.5,,
1/26/2021,2014435,NRS18_MT_10096,8/18/2019,1,WMT,Region_08,MT,FIELDMEAS,,,,,,,,24.6,Y,8.52,,,,,,,Y,X,,6.55,,,,,,,9.8,11:57
1/26/2021,2014436,NRS18_MT_10274,8/16/2019,1,WMT,Region_08,MT,CALIB,,1,Hq30d,Standard,1000,,,,,,PERCENT,100,PERCENT,100,1527,,,,,,Ph solution,7,Ph solution,10,12.5,12.5,,
1/26/2021,2014436,NRS18_MT_10274,8/16/2019,1,WMT,Region_08,MT,FIELDMEAS,,,,,,,,157.8,Y,8.09,,,,,,,Y,X,,7.58,,,,,,,15.7,13:09
