UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STATE,AG_ECO9,EPA_REG,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
2013041,4/28/2021,NRS18_RI_10017,7/26/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX6,104366,,ug/L,0.15,0.1,1.207,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX6,ND
2013041,4/28/2021,NRS18_RI_10017,7/26/2018,1,RI,NAP,Region_01,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX6,104366,,ug/L,0.1,0.05,1.072,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX6,ND
2013041,4/28/2021,NRS18_RI_10017,7/26/2018,1,RI,NAP,Region_01,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,104367,,ug/L,0.15,0.1,1.083,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013042,4/28/2021,NRS18_OR_10032,7/24/2018,1,OR,,Region_10,MICX,,,,,,,,,,,,,,,,,,,
2013042,4/28/2021,NRS18_OR_10032,7/24/2018,1,OR,,Region_10,MICZ,,,,,,,,,,,,,,,,,,,
2013043,4/28/2021,NRS18_OR_10004,7/25/2018,1,OR,WMT,Region_10,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX1,102166,,ug/L,0.1,0.05,1.259,Std. Units,8/24/2018,1/28/2019,ok,KH,,JulyX1,ND
2013043,4/28/2021,NRS18_OR_10004,7/25/2018,1,OR,WMT,Region_10,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX1,102166,0.112,ug/L,0.15,0.1,0.917,Std. Units,8/24/2018,1/28/2019,ok,KH,,JulyX1,L
2013043,4/28/2021,NRS18_OR_10004,7/25/2018,1,OR,WMT,Region_10,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ5,102167,,ug/L,0.15,0.1,1.055,Std. Units,,2/6/2019,ok,KH,,JulyZ5,ND
2013044,4/28/2021,NRS18_OR_10007,7/26/2018,1,OR,WMT,Region_10,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX9,101306,,ug/L,0.15,0.1,1.049,Std. Units,9/7/2018,2/1/2019,ok,KH,,JulyX9,ND
2013044,4/28/2021,NRS18_OR_10007,7/26/2018,1,OR,WMT,Region_10,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX5,101306,,ug/L,0.1,0.05,0.991,Std. Units,9/7/2018,1/30/2019,ok,KH,,JulyX5,ND
