PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SAMPLE_TYPE,MATRIX,LAB,ANALYTE,SAM_CODE,BATCH_ID,ENT_1X_CCE_100ML,UNITS,NARS_FLAG,COMMENT
2026-06-03,2021946,NRS_MI-10288,NRS23_MI_10179,06/05/2023,1,MI,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1123.53680188471,CCE/100-mL,,
2026-06-03,2021947,NRS_OK-10253,NRS23_OK_10046,06/05/2023,1,OK,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,689.934789293241,CCE/100-mL,,
2026-06-03,2021948,NRS_KS-10435,NRS23_KS_10239,06/05/2023,1,KS,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1369.44685511934,CCE/100-mL,,
2026-06-03,2021949,NRS_WA-10485,NRS23_WA_10037,06/05/2023,1,WA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,779.805755611212,CCE/100-mL,,
2026-06-03,2021950,NRS_LA-10229,NRS23_LA_10026,06/05/2023,1,LA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,,CCE/100-mL,ND,
2026-06-03,2021951,NRS_OH-10098,NRS23_OH_10004,06/05/2023,1,OH,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,4616.61226966637,CCE/100-mL,ND,
2026-06-03,2021953,NRS_PA-10131,NRS23_PA_10040,06/06/2023,1,PA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,333.922425778879,CCE/100-mL,,
2026-06-03,2021955,NRS_OK-10188,NRS23_OK_10002,06/06/2023,1,OK,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1405.23597612188,CCE/100-mL,,
2026-06-03,2021956,NRS_KS-10484,NRS23_KS_HP001,06/06/2023,1,KS,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,17,635.340817529132,CCE/100-mL,,
2026-06-03,2021957,NRS_TX-10468,NRS23_TX_10050,06/06/2023,1,TX,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,,CCE/100-mL,ND,
2026-06-03,2021958,NRS_WV-10096,NRS23_WV_10027,06/06/2023,1,WV,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,5,220.941533478554,CCE/100-mL,,
2026-06-03,2021959,NRS_NV-10593,NRS23_NV_10129,06/06/2023,1,NV,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,8607.03425698503,CCE/100-mL,,
2026-06-03,2021960,NRS_PA-10158,NRS23_PA_10048,06/06/2023,1,PA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1147.77773832202,CCE/100-mL,,
2026-06-03,2021961,NRS_MI-10145,NRS23_MI_10022,06/06/2023,1,MI,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,432.507191872316,CCE/100-mL,,
2026-06-03,2021962,NRS_WA-10451,NRS23_WA_10056,06/06/2023,1,WA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,994.794181459997,CCE/100-mL,,
2026-06-03,2021963,NRS_IA-10136,NRS23_IA_10003,06/06/2023,1,IA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,,CCE/100-mL,ND,
2026-06-03,2021964,NRS_CA-11193,NRS23_CA_10008,06/06/2023,1,CA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,825.242625841407,CCE/100-mL,,
2026-06-03,2021965,NRS_GA-10167,NRS23_GA_10034,06/06/2023,1,GA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,1,1285.64808628182,CCE/100-mL,,
2026-06-03,2021967,NRS_NJ-10058,NRS23_NJ_10003,06/06/2023,1,NJ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,1822.06986716496,CCE/100-mL,ND,
2026-06-03,2021968,NRS_IA-10212,NRS23_IA_10088,06/06/2023,1,IA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,3,311.804917824692,CCE/100-mL,,
2026-06-03,2021969,NRS_OH-10129,NRS23_OH_10031,06/06/2023,1,OH,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,946.775120567075,CCE/100-mL,,
2026-06-03,2021970,NRS_FL-10210,NRS23_FL_10037,06/06/2023,1,FL,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,6,,CCE/100-mL,ND,
2026-06-03,2021973,NRS_OR-10629,NRS23_OR_10014,06/06/2023,1,OR,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,3,518.092450967924,CCE/100-mL,,
2026-06-03,2021977,NRS_NE-10287,NRS23_NE_10129,06/07/2023,1,NE,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,8044.90114195345,CCE/100-mL,,
2026-06-03,2021978,NRS_CA-11236,NRS23_CA_10094,06/06/2023,1,CA,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,3,414.795919054181,CCE/100-mL,,
2026-06-03,2021979,NRS_SD-10459,NRS23_SD_10069,06/07/2023,1,SD,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,2,1278.0544775745,CCE/100-mL,,
2026-06-03,2021980,NRS_ND-10446,NRS23_ND_10004,06/07/2023,1,ND,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,4,731.541775557256,CCE/100-mL,,
2026-06-03,2021982,NRS_NJ-10091,NRS23_NJ_10034,06/07/2023,1,NJ,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,29,1898.90715798297,CCE/100-mL,,SS: data from reanalysis of the frozen original sample filter extract
2026-06-03,2021983,NRS_WV-10068,NRS23_WV_10001,06/07/2023,1,WV,ENTE,WATER,AWBERC-CEMM,ENTEROCOCCI,REGULAR,26,300.991377216519,CCE/100-mL,ND,
